barra,tension_kv,zona_geografica,contexto_topologico,tipo_contexto,rol_evidencia,resumen_contexto,estres_nodal,prioridad_operativa,prioridad_operativa_p90,ranking_estres_nodal,ranking_prioridad_operativa,score_revision,prioridad,robustez,dependencia_criterio,score_estabilidad,meses_top20_mensual,share_top20_mensual,zona_mensual,lectura_zona_mensual,soporte_evidencia,driver_principal,persistencia,meses_prioridad,meses_seguimiento,meses_score,cobertura_analitica,meses_fuente_coes,meses_observados,nota_cobertura,primer_mes,ultimo_mes,estado_publicacion,accion_recomendada,limite_interpretacion
PAQUILLUSI 220,220.0,Contexto geográfico pendiente de validación pública,LT PAQUILLUSI - PUMIRI,línea/corredor de transmisión,Subestación o activo oficial,"LT PAQUILLUSI - PUMIRI a 220.0 kV cuenta con contexto oficial de línea/corredor de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",49.17,50.07,66.62,105,93,52.12,Señal condicionada,Alta dependencia,Alta dependencia,46.32826570015377,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Volatilidad,Monitorear,0,1,9,Cobertura analitica limitada,36,9,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
PARAMONGA EXISTENTE 138,138.0,Contexto geográfico pendiente de validación pública,PARAMONGA EXISTENTE,Subestación de transmisión,Alias COES cerrado con evidencia,PARAMONGA EXISTENTE a 138.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,47.42,46.42,68.17,111,108,52.0,Señal episódica,Alta dependencia,Alta dependencia,44.9115694037208,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Monitorear,0,6,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
MEDIO MUNDO 220,220.0,Contexto geográfico pendiente de validación pública,LT PARAMONGA NUEVA- MEDIO MUNDO,línea/corredor de transmisión,"Línea, terminal o corredor","LT PARAMONGA NUEVA- MEDIO MUNDO a 220.0 kV se interpreta como contexto de línea, terminal o corredor. Sirve para orientar revisión topológica y ubicar qué tramo de red debe contrastarse con industria, contrato y confiabilidad.",47.18,46.32,66.51,112,109,51.82,Señal episódica,Alta dependencia,Alta dependencia,44.58485351150925,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Monitorear,0,6,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
COTARUSE 220,220.0,Contexto geográfico pendiente de validación pública,COTARUSE,Subestación de transmisión,Subestación o activo oficial,"COTARUSE a 220.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",48.55,46.57,66.4,106,107,51.73,Señal episódica,Alta dependencia,Alta dependencia,44.554685085485325,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Episódica,1,5,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
PIEDRA BLANCA 34.5,34.5,Contexto geográfico pendiente de validación pública,LT PCH - PIEDRA BLANCA,línea/corredor de transmisión,"Línea, terminal o corredor","LT PCH - PIEDRA BLANCA a 34.5 kV se interpreta como contexto de línea, terminal o corredor. Sirve para orientar revisión topológica y ubicar qué tramo de red debe contrastarse con industria, contrato y confiabilidad.",48.29,47.34,67.51,107,102,51.32,Señal episódica,Alta dependencia,Alta dependencia,45.72459140066706,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Nivel de precio,Monitorear,0,4,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
OQUENDO 60,60.0,Contexto geográfico pendiente de validación pública,OQUENDO,Subestación de transmisión,Subestación o activo oficial,"OQUENDO a 60.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",47.62,45.54,65.22,109,111,51.32,Señal episódica,Alta dependencia,Alta dependencia,44.535475234945096,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Episódica,1,4,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
SUNNY 220,220.0,Contexto geográfico pendiente de validación pública,SUNNY 220,contexto topológico local,Alias COES cerrado con evidencia,Barra a 220.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,51.87,45.84,60.64,98,110,49.35,Monitorear,Alta dependencia,Alta dependencia,44.33062222967191,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Volatilidad,Monitorear,0,1,4,Cobertura analitica limitada,36,4,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Mantener en universo analítico base y revisar si aparece nueva evidencia o exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
LOMERA 220,220.0,Contexto geográfico pendiente de validación pública,LOMERA,Subestación de transmisión,Subestación o activo oficial,"LOMERA a 220.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",44.16,43.43,63.7,119,115,48.67,Señal episódica,Alta dependencia,Alta dependencia,43.22044375941059,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Monitorear,0,3,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
HUACHO 220,220.0,Contexto geográfico pendiente de validación pública,HUACHO,Subestación de transmisión,Subestación o activo oficial,"HUACHO a 220.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",44.13,43.68,63.47,121,114,48.07,Señal episódica,Alta dependencia,Alta dependencia,42.96914169266898,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Monitorear,0,2,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
SANTA TERESA 220,220.0,Contexto geográfico pendiente de validación pública,LT SANTA TERESA-SURIRAY,línea/corredor de transmisión,"Línea, terminal o corredor","LT SANTA TERESA-SURIRAY a 220.0 kV se interpreta como contexto de línea, terminal o corredor. Sirve para orientar revisión topológica y ubicar qué tramo de red debe contrastarse con industria, contrato y confiabilidad.",42.12,41.45,64.11,128,121,47.93,Señal episódica,Alta dependencia,Alta dependencia,40.757280259264455,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Monitorear,0,4,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
MARAÑON 60,60.0,Contexto geográfico pendiente de validación pública,MARAÑON,Subestación de transmisión,Subestación o activo oficial,"MARAÑON a 60.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",38.39,38.89,63.59,144,126,47.23,Señal episódica,Alta dependencia,Alta dependencia,38.12425128687187,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Episódica,1,3,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
ZAPALLAL 220,220.0,Contexto geográfico pendiente de validación pública,ZAPALLAL,Subestación de transmisión,Subestación o activo oficial,"ZAPALLAL a 220.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",42.72,41.76,59.16,125,119,46.82,Señal episódica,Alta dependencia,Alta dependencia,41.68695489364674,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Episódica,1,2,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
PACHACHACA50,50.0,Contexto geográfico pendiente de validación pública,LT PACHACHACA - MOROCOCHA,línea/corredor de transmisión,"Línea, terminal o corredor","LT PACHACHACA - MOROCOCHA a 50.0 kV se interpreta como contexto de línea, terminal o corredor. Sirve para orientar revisión topológica y ubicar qué tramo de red debe contrastarse con industria, contrato y confiabilidad.",44.52,43.26,62.71,116,116,46.65,Señal episódica,Alta dependencia,Alta dependencia,42.2740369726207,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Monitorear,0,3,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
CHAVARRIA 220,220.0,Contexto geográfico pendiente de validación pública,CHAVARRIA,Subestación de transmisión,Subestación o activo oficial,"CHAVARRIA a 220.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",42.83,41.64,58.18,124,120,46.33,Señal episódica,Alta dependencia,Alta dependencia,41.97459140066706,1,0.028,Entrada puntual a zona mensual,Tuvo una entrada puntual a la zona ejecutiva; revisar el mes antes de extraer una conclusion general.,A,Ventanas críticas,Episódica,1,1,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
CARABAYLLO 220,220.0,Contexto geográfico pendiente de validación pública,LT ZAPALLAL-CARABAYLLO,línea/corredor de transmisión,"Línea, terminal o corredor","LT ZAPALLAL-CARABAYLLO a 220.0 kV se interpreta como contexto de línea, terminal o corredor. Sirve para orientar revisión topológica y ubicar qué tramo de red debe contrastarse con industria, contrato y confiabilidad.",41.97,40.91,58.62,129,122,45.79,Señal episódica,Alta dependencia,Alta dependencia,40.79601806931365,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Episódica,1,1,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
SAN MARTIN 220,220.0,Contexto geográfico pendiente de validación pública,SAN MARTÍN SOLAR,Subestación de transmisión,Subestación o activo oficial,"SAN MARTÍN SOLAR a 220.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",49.93,48.5,59.36,102,100,45.68,Monitorear,Alta dependencia,Alta dependencia,45.895516006967945,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Volatilidad,Monitorear,0,0,9,Cobertura analitica limitada,36,9,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Mantener en universo analítico base y revisar si aparece nueva evidencia o exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
VENTANILLA 220,220.0,Contexto geográfico pendiente de validación pública,VENTANILLA,Subestación de transmisión,Subestación o activo oficial,"VENTANILLA a 220.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",42.27,40.83,57.37,126,123,45.63,Señal episódica,Alta dependencia,Alta dependencia,41.38316616192099,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Episódica,1,1,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
POROMA 220,220.0,Contexto geográfico pendiente de validación pública,LT MARCONA-POROMA,línea/corredor de transmisión,"Línea, terminal o corredor","LT MARCONA-POROMA a 220.0 kV se interpreta como contexto de línea, terminal o corredor. Sirve para orientar revisión topológica y ubicar qué tramo de red debe contrastarse con industria, contrato y confiabilidad.",44.14,42.61,61.15,120,118,45.61,Señal episódica,Alta dependencia,Alta dependencia,42.44620822546856,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Monitorear,0,2,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
MARCONA 220,220.0,Contexto geográfico pendiente de validación pública,MARCONA,Subestación de transmisión,Subestación o activo oficial,"MARCONA a 220.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",44.37,42.63,60.77,117,117,45.58,Señal episódica,Alta dependencia,Alta dependencia,42.43046983930698,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Monitorear,0,2,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
MACHUPICCHU 138,138.0,Contexto geográfico pendiente de validación pública,MACHU PICCHU,Subestación de transmisión,Subestación o activo oficial,"MACHU PICCHU a 138.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",38.27,37.43,63.48,145,137,44.93,Señal episódica,Alta dependencia,Alta dependencia,36.67922526552619,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Monitorear,0,3,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
CAHUA138,138.0,Contexto geográfico pendiente de validación pública,CAHUA,Subestación de transmisión,Subestación o activo oficial,"CAHUA a 138.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",38.68,36.89,61.97,143,140,44.69,Señal episódica,Alta dependencia,Alta dependencia,37.76701954481051,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Monitorear,0,3,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
CHEVES 220,220.0,Contexto geográfico pendiente de validación pública,CHEVES,Subestación de transmisión,Subestación o activo oficial,"CHEVES a 220.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",38.88,38.74,60.41,141,130,44.43,Señal episódica,Alta dependencia,Alta dependencia,38.34231436560994,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Monitorear,0,2,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
HUANCHOR 50,50.0,Contexto geográfico pendiente de validación pública,LT HUANCHOR-SAN MATEO,línea/corredor de transmisión,"Línea, terminal o corredor","LT HUANCHOR-SAN MATEO a 50.0 kV se interpreta como contexto de línea, terminal o corredor. Sirve para orientar revisión topológica y ubicar qué tramo de red debe contrastarse con industria, contrato y confiabilidad.",36.8,33.01,60.15,148,150,44.15,Señal condicionada,Alta dependencia,Alta dependencia,34.99518090438003,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Episódica,2,4,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
INDEPENDENCIA 60,60.0,Contexto geográfico pendiente de validación pública,INDEPENDENCIA,Subestación de transmisión,Subestación o activo oficial,"INDEPENDENCIA a 60.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",41.32,39.24,54.13,131,124,43.95,Señal episódica,Alta dependencia,Alta dependencia,40.21580581916038,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Episódica,1,1,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
CT PISCO 60,60.0,Contexto geográfico pendiente de validación pública,PISCO,Subestación de transmisión,Alias COES cerrado con evidencia,PISCO a 60.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,41.31,39.23,54.13,132,125,43.95,Señal episódica,Alta dependencia,Alta dependencia,39.9843243376789,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Episódica,1,1,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
ICA 220,220.0,Contexto geográfico pendiente de validación pública,ICA,Subestación de transmisión,Subestación o activo oficial,"ICA a 220.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",40.91,38.82,54.15,133,127,43.92,Señal episódica,Alta dependencia,Alta dependencia,39.50555617160801,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Episódica,1,1,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
CAJAMARQUILLA 220,220.0,Contexto geográfico pendiente de validación pública,CAJAMARQUILLA,Subestación de transmisión,Subestación o activo oficial,"CAJAMARQUILLA a 220.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",40.11,38.82,54.41,136,128,43.71,Señal episódica,Alta dependencia,Alta dependencia,39.1327313290629,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Episódica,1,1,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
CHEVES 13.8,13.8,Contexto geográfico pendiente de validación pública,CHEVES,Subestación de transmisión,"Barra local, industrial o generación","CHEVES a 13.8 kV se interpreta como barra local, industrial, de generación o media tensión. Su valor para el producto está en conectar la señal de estrés nodal y prioridad operativa con demanda, inyección local o exposición contractual específica.",38.11,37.6,60.01,147,135,43.46,Señal episódica,Alta dependencia,Alta dependencia,37.11362338592779,0,0.0,Fuera de zona mensual,No entra al Top 20 mensual; permanece en el universo completo como referencia comparativa.,A,Ventanas críticas,Monitorear,0,2,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,Monitorear comportamiento mensual y verificar si los episodios coinciden con supuestos de exposición industrial.,"Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
